,n_up,n_down,dimension,interaction_type,n_basis,lambda,coupling,G_up,G_dn,N,spectrum
316,3,1,1,bare,10,0.0,4.95,0.0,0.0,1,7.626408576283449
317,3,1,1,bare,10,0.0,4.95,0.0,0.0,2,7.870469936162288
318,3,1,1,bare,10,0.0,4.95,0.0,0.0,3,7.99999999999997
319,3,1,1,bare,10,0.0,4.95,0.0,0.0,4,8.329128536617342
320,3,1,1,bare,10,0.0,4.95,0.0,0.0,5,8.647785156073905
321,3,1,1,bare,10,0.0,4.95,0.0,0.0,6,8.87682046557375
322,3,1,1,bare,10,0.0,4.95,0.0,0.0,7,8.999999999999972
323,3,1,1,bare,10,0.0,4.95,0.0,0.0,8,9.279780829638831
324,3,1,1,bare,10,0.0,4.95,0.0,0.0,9,9.369083172355728
325,3,1,1,bare,10,0.0,4.95,0.0,0.0,10,9.626989252446698
326,3,1,1,bare,10,0.0,4.95,0.0,0.0,11,9.667635263212869
327,3,1,1,bare,10,0.0,4.95,0.0,0.0,12,9.863621670728786
328,3,1,1,bare,10,0.0,4.95,0.0,0.0,13,9.883400648954241
329,3,1,1,bare,10,0.0,4.95,0.0,0.0,14,9.999999999999927
330,3,1,1,bare,10,0.0,5.45,0.0,0.0,0,7.404133991106242
331,3,1,1,bare,10,0.0,5.45,0.0,0.0,1,7.6840413008328
332,3,1,1,bare,10,0.0,5.45,0.0,0.0,2,7.8907151791286845
333,3,1,1,bare,10,0.0,5.45,0.0,0.0,3,7.999999999999987
334,3,1,1,bare,10,0.0,5.45,0.0,0.0,4,8.439562259085926
335,3,1,1,bare,10,0.0,5.45,0.0,0.0,5,8.706601158457653
336,3,1,1,bare,10,0.0,5.45,0.0,0.0,6,8.897236333547443
337,3,1,1,bare,10,0.0,5.45,0.0,0.0,7,9.000000000000005
338,3,1,1,bare,10,0.0,5.45,0.0,0.0,8,9.402209150237042
339,3,1,1,bare,10,0.0,5.45,0.0,0.0,9,9.483524597411044
340,3,1,1,bare,10,0.0,5.45,0.0,0.0,10,9.691530507185497
341,3,1,1,bare,10,0.0,5.45,0.0,0.0,11,9.728127924341537
342,3,1,1,bare,10,0.0,5.45,0.0,0.0,12,9.88612260745468
343,3,1,1,bare,10,0.0,5.45,0.0,0.0,13,9.904044354330757
344,3,1,1,bare,10,0.0,5.45,0.0,0.0,14,9.99999999999998
345,3,1,1,bare,10,0.0,5.95,0.0,0.0,0,7.4982576405670605
